Unnamed: 0,BCODE,Basin_Name,old_terms,new_terms,YEAR,status_new_search,status_old_search,new_result_count,completed_timestamp_old,future runs needed?,completed_timestamp_new
0,ATRK,Atrak,Atrak OR Sumber,"Atrak OR atruk OR Sumbar OR Atrek OR Çandyr OR ""Roodkhane Timurtash"" OR ""Rood Faruj"" OR Aýdere OR Qanat OR Qaraqum",2004,complete,complete,,4 results,should run new with smaller range,
1,AWSH,Awash,Abhe Bid Hayak OR Awash OR Finochaa OR Gemeri Hayak OR Petit Akabi OR Sendafa,"Awash OR Germama OR Kesem OR ""Jirjir Shet'"" OR Mille OR Meki OR ""Arba Dima"" OR Arba OR Jido OR Borkena OR Cheleleka OR Hanlé OR ""Great Akaki"" OR Modjo OR Borkana OR Keleta OR Gôba'ad OR Bulbula OR Atebella OR Bolli OR Weja OR Kalou OR ""Mojo Jelu Shet"" OR Teji OR Chekkeyti OR Erer OR Ayisha OR Hawadi OR Ḏagadle OR Akaki OR ""Arabi Shet'"" OR Degbour OR Wedacha OR Daralia OR ""Djibouti Road"" OR ""Dukem Shet"" OR Dukem OR Gabon OR Horakelo OR ""Little Akaki"" OR ""Daba Ḏêr"" OR Doubié OR Gogesa OR Gota OR Malaï OR Werkwiha OR Harewa OR Loya OR Kayinama OR Lasarat OR Burka OR Ilamu OR ""As Hada Mahod"" OR Tsainde",2002,complete,complete,329 results,161 results,,
2,BANN,Bann,Bann OR CAPS(Black Water) OR Laugh Neagh OR CAPS(Lower Laugh) Erine,"Bann OR Blackwater OR ""Lower Bann"" OR ""Upper Bann"" OR Maine OR Braid OR Mountain OR Callan OR Cor OR Ballinderry OR Moyola OR ""Six Mile"" OR Agivey OR Rhee OR Clady OR Knockoneil OR Oona OR Aghadowey OR Clough OR Kellswater OR Ballygawley OR Ballymoney OR Claggan OR Grange OR Killymoon OR Lissan OR Rocky OR Annagh OR Ashlamduff OR Cleggan OR Closet OR Coppies OR Crumlin OR Cusher OR Doagh OR ""FarloughRiver Upper"" OR Formil OR Glenwhirry OR Maddock OR Muddock OR Mullagh OR Shankys OR Whitewater OR ""Devenagh Burn"" OR Glenavy OR Altalacky OR Armagh OR ""Cashel Burn"" OR Cloughmills OR Culmore OR Fury OR Glengomma OR Glenlough OR Monaghan OR Rhone OR Torrent OR Ballymartrim OR ""Black Burn"" OR Black OR Breckagh OR Brocagh OR ""Cam Burn"" OR ""Claggan Struanmore"" OR ""Curragh Burn"" OR Drum OR Drumahiskey OR Drumard OR ""Eden Burn"" OR ""Eden Drain"" OR ""Glen Burn"" OR ""Gortree Burn"" OR Grove OR Keenaght OR Killeen OR ""Killylane Burn"" OR ""Largy Burn"" OR Leitrim OR ""Lisnamuck Burn"" OR ""Monaghan Blackwater"" OR ""Mullans Burn"" OR Owenglass OR ""Pollan Burn"" OR ""Quaw Burn"" OR ""Ross Burn"" OR Shambles OR Shinny OR Stonyford OR Ulster OR Newry OR Butter OR ""Dreenan Sheugh""",2002,pending,complete,"failed (27,819)",122 results,try month range?,
3,DRIN,Drin,Cemerice OR Drin OR Drinizi OR Fshat OR Gjemon OR Gjonc OR Kamenice OR Kasaj OR Lavdan OR Leminot OR Markez OR Ohridsko Jezero OR Lake Ohrid OR Prifte OR Sopale OR Teqese OR T'plan OR Tropoje OR Verlen OR Zberga OR Beli Drim OR Pecska Bistrica,"Drin OR ""Drini i Bardhë"" OR Morača OR ""Drini i Zi"" OR ""Crn Drim"" OR Drini OR Radika OR Buna OR Zeta OR Valbonë OR Ereniku OR Cijevna OR ""Lumbardhi i Pejës"" OR Kir OR Sateska OR ""Lumi i Shalës"" OR Klinë OR ""e Caies"" OR ""Përroi Gominës"" OR Mirushë OR ""Lumi Currajve"" OR Comsiqes OR ""Lumi i Thethit"" OR ""Lumi i Cemit"" OR Burim OR Adzina OR ""Lumbardhi i Deçanit"" OR ""Lumi i Gomsiqes"" OR Koselska OR ""Përroi Stupës"" OR Sitnica OR ""Lumi i Pejës"" OR Mrtvica OR Toplluhë OR ""Përroi Vilës"" OR ""Përroi Palajt"" OR ""Përroi Vogël"" OR Seta OR ""Përroi Spaçit"" OR Mavrovtsa OR Mokresh OR ""Drini i bardhë"" OR Dushit OR Ribnica OR Klina OR Ratinja OR ""Lumi i Tropojës"" OR Tresonecka OR ""Përroi Bugjonit"" OR Karatuna OR ""Mrkovska rijeka"" OR ""Lumi e Currajve"" OR Krivaya OR ""Lumi Mirushë"" OR Vapilnitsa OR Šegrtnica OR ""Lumi Kuqit"" OR Daljan OR Garska OR Krena OR Vevchanska OR Mala OR ""Međurečka rijeka"" OR ""Mala rijeka"" OR ""Përroi i Mërturit"" OR Gjadri OR Veleshicë OR ""Përroi Rrjollit"" OR Cherava OR ""Crn Kamen"" OR Gostiljska OR Sjevernica OR ""Përroi Molla e Lurës"" OR ""Midanska rijeka - Shau i Kalimanit"" OR Bec OR Mareza OR ""Rekë e Allagës"" OR Sherup OR Kozhnjer OR ""Përroi Papit"" OR ""Përroi Thellosë"" OR ""Përroi i Plavës"" OR ""Përroi Pellshit"" OR ""Përroi Prangullit"" OR Prisovjanska OR Shstitovitsa OR Duhllo OR ""Bogutovački potok"" OR Milishevc OR ""Përroi Çaperkosave"" OR ""Përroi Gurit"" OR ""Savin potok"" OR ""Proni i Škodres"" OR ""Përroi Milloshit"" OR ""Përroi Mizës"" OR ""Përroi Bicës"" OR Restelicë OR ""Përroi i thatë"" OR ""Përroi Krajës"" OR ""Pećka Bistrica"" OR ""Përroi Motinës"" OR Krotaja OR ""Përroi Troshanit"" OR Tayirovskaya OR ""Përroi Shehu i Shllinave"" OR Hoçë OR ""Kanioni i Fluturave"" OR Dlабoka OR ""Përroi Shtodrit"" OR ""Përroi Thatë"" OR ""Lumi Rimnik"" OR ""Përroi Mullinjëve"" OR ""Potok Murići"" OR ""Përroi Palan"" OR ""Lumi i Sopijës"" OR Žlijeb OR ""Përroi Zi"" OR ""Përroi Vozinianti"" OR Valavicharska OR ""Koritski potok"" OR ""Përroi Shajmaqes"" OR Shpatarets OR ""Bratkovički potok"" OR Slatina OR ""Përroi i Vrakës"" OR ""Përroi Lugu i Shkymë"" OR ""Përroi Cam Dedaj"" OR ""Përroi Çudit"" OR ""Përroi Grazhdës"" OR ""Përroi Çeremit"" OR ""Përroi Madh"" OR ""Përroi i Reskut"" OR Deshtica OR ""Kanali i Madh"" OR ""Kanali i Hidrovorit"" OR ""Kanali i Drinit"" OR Vadites OR ""Kanali i i Murtemës"" OR ""Kanali i Shtodrit"" OR ""Kanali i Jubanit"" OR Spathar OR ""Kullues ose Vaditës""",2001,complete,complete,293 results,154 results,,
4,DURO,Douro/Duero,Adaja OR Aliste OR Bembezar OR Bibey OR Cea OR Cega OR Duero OR Embalse de Saucelle OR Embalse de Barropis de Luna OR Embalse De Linares OR Embalse de Richobayo OR Embalse de santa Teresa OR Embalse del Agueda OR Embalse de Almendra OR Embalse de Burgomillodo OR Embalse de la Cuerda del pozo OR Eresma OR Eria OR Esgueva OR Esla OR Espartero OR Guarena OR Huebra OR Largo de Sanabria OR Mourela OR Orbigo OR Porma OR Retortillo OR San Miguel OR Sequillo OR Tera OR Torio OR Tormes OR Travancos OR Valderaduey OR Valdesirgas OR Yeltes OR Agueda OR Arcosso OR Cabrum OR Cavado OR Coa OR Douro OR Embalse alse de Saucelle OR Embalse de Aldeadavila OR Paiva OR Rabacal OR Rabagao OR CAPS(Sabor) OR CAPS(Sabroso) OR CAPS(Seco) OR CAPS(Sordo) OR Tamega OR Tavora OR Tua OR Tuela OR Varosa,"Douro OR Duero OR Pisuerga OR Esla OR Tormes OR Adaja OR Tâmega OR Cega OR Águeda OR Tuela OR Tera OR Sabor OR Valderaduey OR Sequillo OR Cea OR Carrión OR Arlanza OR Trabancos OR Bernesga OR Duratón OR Zapardiel OR Órbigo OR Côa OR Luna OR Paiva OR Riaza OR Rituerto OR Huebra OR Maçãs OR Tua OR Távora OR Porma OR Sousa OR Beça OR Eresma OR Manzanas OR Moros OR Pirón OR Esgueva OR Odra OR Pinhão OR Rabaçal OR Salado OR Valdavia OR Aliste OR Arda OR Corgo OR Massueime OR ""Ribeira de Carvalhais"" OR Támega OR Ucero OR Uces OR Arandilla OR Azibo OR Pedro OR Corneja OR Ebrillos OR Izana OR Lobos OR Talegones OR Torto OR Varosa OR Yeltes OR Arevalillo OR Bercimuel OR Camaces OR Camesa OR Guareña OR Morón OR ""Ribeira da Vilariça"" OR ""de Macedo"" OR Aguisejo OR Cabril OR Escalote OR Ferreira OR Fresno OR Hornija OR Milanos OR Navajos OR Onor OR ""Pequeno - de Feces"" OR Pilde OR Revinuesa OR ""Ribeira das Cabras"" OR ""Ribeira de Leomil"" OR ""Ribeira de Mós"" OR Tinhela OR ""Turones - Tourões"" OR Yuso OR ""da Carvalhosa"" OR ""de Curros"" OR ""de la Ribera"" OR ""Abredo do Pereiro"" OR Agadones OR Aranzuelo OR Aulaque OR Baceiro OR Burejo OR Cavalum OR Cerezuelo OR Inha OR ""Malavao o la Malena"" OR Mau OR Mazores OR Odres OR Pelo OR Razón OR Rejas OR Riofrío OR Temilobos OR Terva OR Torno OR Abión OR Agadón OR Alhándiga OR Almar OR Andaluz OR Areños OR Cabrum OR Ceguilla OR Chico OR ""Garganta de los Caballeros"" OR Gromejón OR Hormas OR Marão OR Morgaez OR Paivó OR Picuezo OR ""Porto do Rei Búbal"" OR Poveda OR Puerma OR Rabazal OR Regamón OR ""Ribeira da Mota"" OR ""Ribeira de Baçal"" OR ""Ribeira de São Cibrão"" OR ""Ribeira de Tourões"" OR ""Ribeira de Vale de Moinhos"" OR ""Ribeira do Bói"" OR ""Ribeira do Cró"" OR ""Ribeira do Mosteiro"" OR ""Ribeira do de Ouro"" OR ""Ribeiro de São Martinho"" OR Rubagón OR ""San Juan"" OR Teixeira OR Valdeguilera OR Vallarna OR ""de Felgueiras"" OR ""de Riofresno"" OR ""de la Duerna"" OR Albarellos OR Aravalle OR Assureira OR Avelames OR Balsemão OR Barbellido OR Bayubas OR Bestança OR ""Burguillo o de los Gatos"" OR Cabras OR Calabor OR Caslilla OR Curueño OR Côvo OR Febros OR Fervença OR Fortes OR Freixieiro OR Froya OR Grande OR Lechada OR Llamosos OR Louredo OR Mayor OR Mente OR Merdero OR Monasterio OR Mousse OR Noemi OR Noéme OR Orza OR Ovelha OR Paivô OR Pequeno OR Perales OR Prádena OR Razoncillo OR Reguero OR ""Ribeira da Lavandeira"" OR ""Ribeira da Seixa"" OR ""Ribeira da Teja"" OR ""Ribeira de Ade"" OR ""Ribeira de Deilão"" OR ""Ribeira de Eiriz"" OR ""Ribeira de Linhares"" OR ""Ribeira de Penacal"" OR ""Ribeira de Ramalhoso"" OR ""Ribeira de Trancosa"" OR ""Ribeira de Veados"" OR ""Ribeira de Vilar Maior - Cesarão"" OR ""Ribeirinha da Nave"" OR ""Ribeiro Tenente - Tenente"" OR ""Rio Cereixo"" OR ""Rio Sonso"" OR ""Rivera de Azaba"" OR ""Rivera de Bozas"" OR Rivera OR Sacramenia OR Sauguillo OR Serrano OR Tinto OR Torderón OR Uima OR Urtigosa OR Uíma OR Vadillo OR ""Vidoeiro ou da Ermida"" OR Villacortilla OR Zamprón OR Zúmel OR ""de Carraixo"" OR ""de Remolina"" OR ""de Soutelo"" OR ""de Valdearcos"" OR ""de Valparaíso"" OR ""de Veade"" OR ""de la Vega"" OR ""de las Heras"" OR ""de los Papeles"" OR ""de los Pontones"" OR ""del Fontano"" OR ""del Payo"" OR ""del Pontón"" OR ""do Vale Madeiro"" OR ""ou da Vila"" OR ""Rivera de Cañedo"" OR Torete OR ""de Arganza"" OR Cerquilla OR Mazos OR ""Ribeira de Santa Natália"" OR ""del Naranco"" OR ""del Valle"" OR Bajoz OR Botijas OR Hontanija OR ""Regato de Adalia"" OR ""Ribeira do Rabo de Burro"" OR ""Rivera de Campeán"" OR Araviana",2005,pending,complete,"failed (14,414)",242 results,try month range?,
5,GLOK,Golok,Golok,"Golok OR ""Sungai Golok"" OR ""Sungai Jegor"" OR ""Sungai Jedok"" OR ""Sungai Lanas"" OR ""Bang Nara"" OR ""Sungai Lemal"" OR ""Sungai Buloh"" OR ""Sungai Tasik Gharu"" OR ""Sungai Nibong"" OR ""Sungai Tanah Merah"" OR ""maenam golok"" OR ""Sungai Pengkalan Nangka"" OR ""Sungai Jambu"" OR ""Sungai Batu Kwong"" OR ""Sungai Jelakong"" OR ""Sungai Keding"" OR ""Sungai Kelisar""",2003,complete,complete,14 results,5 results,,
6,GUDN,Guadiana,Guadiana,"Guadiana OR Zújar OR Ardila OR Záncara OR Jabalón OR Cigüela OR Tirteafuera OR Bullaque OR Matachel OR Chanza OR Guadámez OR Guadalmez OR Amarguillo OR Estena OR Chança OR Guadajira OR Zapatón OR Degebe OR Ortiga OR Azuer OR Caia OR Esteras OR Guadalupejo OR Gévora OR Búrdalo OR Córcoles OR Alcarrache OR Gargáligas OR ""Rivera de Malagón"" OR Riánsares OR Agudo OR Gigüela OR ""Guadiana Viejo"" OR Milagro OR Rus OR Godolid OR Guadamatilla OR ""Rivera de Albarragena"" OR Ruecas OR ""del Sansustre"" OR Cañamares OR ""Rivera de Ratilla o de Golondrina"" OR Rús OR Alcazaba OR Alcollarín OR Bodión OR Estenilla OR Guadarranque OR ""Rivera de la Viguera"" OR Xévora OR Bañuelos OR ""Ribeira da Murtega"" OR ""Ribeira de Lucefécit"" OR ""Rivera del Calaboza"" OR ""Santa María"" OR ""de La Albuera"" OR ""de Sotuélamos"" OR Alcobilla OR Aljucén OR Caya OR Grande OR Guadalefra OR Jualón OR Múrtigas OR Nogales OR Palomillas OR Retín OR Silvadillo OR Valparaíso OR Vascão OR ""de Friegamuñoz"" OR Becea OR Godelim OR Gualemar OR Oeiras OR Ojuelo OR Olivenza OR ""Rivera Peramora de la Alcalaboza"" OR ""Rivera de Chicaspiernas"" OR ""Rivera de Troya"" OR ""Rivera de los Limones"" OR ""San Juan"" OR Valdejudíos OR Valdepineda OR ""de la Serna"" OR ""de las Lagunas"" OR ""del Alamillo"" OR ""del Cubo"" OR valdehierro OR ""Ribeira de Carreiras"" OR Monreal OR ""Ribeira de Maria Delgada"" OR Cambrón OR Pizarroso OR ""Ribeira da Azambuja"" OR ""Ribeira da Pardiela"" OR ""Ribeira de Limas"" OR ""Ribeira de Odeleite"" OR ""Ribeira do Enxoé"" OR ""Barranco das Taipas"" OR ""Ribeira da Foupana"" OR ""Ribeira de Cobres"" OR ""Ribeira de Terges"" OR ""de las Ánimas"" OR ""Ribeira de Algalé"" OR ""Ribeira de Mures"" OR ""Ribeira de Oeiras"" OR ""Ribeira de Toutalga"" OR ""Ribeira do Murtigão"" OR ""Rivera de Táliga"" OR ""de El Rubial"" OR ""de Valdemedel"" OR ""del Cazarejo"" OR Alarconcillo OR ""Barranco do Carvalhal"" OR ""Barranco do João Bilheiro"" OR Harnina OR Malatoro OR Pellejero OR ""Ribeira de Safareja"" OR ""Ribeira de Selmes"" OR ""Ribeira do Vidigão"" OR ""Ribeira do Álamo"" OR ""de Santa María"" OR ""de Valdecañas"" OR ""de la Nava"" OR ""de las Navas"" OR ""del Sillo"" OR ""Barranco da Amendoeira"" OR ""Barranco da Foz do Guadiana"" OR ""Barranco das Amoreiras"" OR ""Barranco de Vila Verde de Ficalho"" OR ""Barranco del Gafo"" OR ""Barranco do Freixo"" OR ""Barranco do Laranjo"" OR ""Barranco do Pego Escuro"" OR ""Barranco dos Alcaides"" OR ""El Molar"" OR Ginjal OR ""Las Viñuelas"" OR Lobo OR ""Regato de la Sardina"" OR ""Regato del Rosal"" OR ""Ribeira da Amieira"" OR ""Ribeira da Asseca"" OR ""Ribeira da Cabroeira"" OR ""Ribeira da Coutada"" OR ""Ribeira da Silveirinha"" OR ""Ribeira de Vasconcilhos"" OR ""Ribeira do Alfardagão"" OR ""Ribeira do Mata Frades"" OR ""Ribeira do Pigeiro"" OR ""Ribeiro da Laje"" OR ""Ribeiro da Tapada"" OR ""Ribeiro dos Mosqueiros"" OR Torto OR ""de Aljozar"" OR ""de Calamón"" OR ""de Cuncos"" OR ""de Fresnedoso"" OR ""de Gevorele"" OR ""de Huerto Moreno"" OR ""de Malagón"" OR ""de Rivilla"" OR ""de San Gabriel"" OR ""de Valdeborrachos"" OR ""de Valdelacasa"" OR ""de Valdespino"" OR ""de Villaverde"" OR ""de la Charca"" OR ""de la Veguilla"" OR ""de las Peralosas"" OR ""de los Cabriles"" OR ""del Conejo"" OR ""del Cortijo"" OR ""del Hato o del Pozo de la Torre"" OR ""Acequia de Marcelén"" OR Albarregas OR Bardero OR ""Barranco da Cabrita"" OR ""Barranco da Horta do Almada"" OR ""Barranco da Lage"" OR ""Barranco da Lapa da Castelhana"" OR ""Barranco da Matosa"" OR ""Barranco da Nora"" OR ""Barranco da Parreira"" OR ""Barranco da Salvada"" OR ""Barranco da Sobreira"" OR ""Barranco da Vaca""",2005,pending,complete,"failed (2,295)",2 results,try without a limit,
